2026-01-19 02:09:57,596 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1574 ask=0.1576
2026-01-19 02:09:57,988 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.942 ask=1.944
2026-01-19 02:09:58,397 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9409 ask=1.9434
2026-01-19 02:09:58,794 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.287
2026-01-19 02:09:59,688 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2854 ask=0.2857
2026-01-19 02:10:00,100 | INFO     | orderbook_manager | OB bybit ARB/USDT bid=0.2168 ask=0.2169
2026-01-19 02:10:00,511 | INFO     | orderbook_manager | OB okx ARB/USDT bid=0.2169 ask=0.217
2026-01-19 02:10:01,017 | INFO     | orderbook_manager | OB bybit OP/USDT bid=0.3402 ask=0.3403
2026-01-19 02:10:01,431 | INFO     | orderbook_manager | OB okx OP/USDT bid=0.3401 ask=0.3402
2026-01-19 02:10:01,841 | INFO     | orderbook_manager | OB okx METIS/USDT bid=5.683 ask=5.694
2026-01-19 02:10:02,350 | INFO     | orderbook_manager | OB bybit LDO/USDT bid=0.6012 ask=0.6015
2026-01-19 02:10:02,759 | INFO     | orderbook_manager | OB okx LDO/USDT bid=0.601 ask=0.6014
2026-01-19 02:10:13,206 | INFO     | orderbook_manager | OB bybit GALA/USDT bid=0.00749 ask=0.00751
2026-01-19 02:10:13,613 | INFO     | orderbook_manager | OB okx GALA/USDT bid=0.007496 ask=0.0075
2026-01-19 02:10:14,022 | INFO     | orderbook_manager | OB bybit SAND/USDT bid=0.1456 ask=0.1458
2026-01-19 02:10:14,534 | INFO     | orderbook_manager | OB okx SAND/USDT bid=0.1456 ask=0.1458
2026-01-19 02:10:15,046 | INFO     | orderbook_manager | OB bybit MANA/USDT bid=0.1573 ask=0.1575
2026-01-19 02:10:15,558 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1574 ask=0.1576
2026-01-19 02:10:15,980 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.94 ask=1.942
2026-01-19 02:10:16,481 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9385 ask=1.9412
2026-01-19 02:10:16,889 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.287
2026-01-19 02:10:17,307 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2851 ask=0.2855
2026-01-19 02:10:17,708 | INFO     | orderbook_manager | OB bybit ARB/USDT bid=0.2166 ask=0.2168
2026-01-19 02:10:18,137 | INFO     | orderbook_manager | OB okx ARB/USDT bid=0.2167 ask=0.2168
2026-01-19 02:10:18,527 | INFO     | orderbook_manager | OB bybit OP/USDT bid=0.3397 ask=0.3398
2026-01-19 02:10:18,948 | INFO     | orderbook_manager | OB okx OP/USDT bid=0.3398 ask=0.3399
2026-01-19 02:10:19,342 | INFO     | orderbook_manager | OB okx METIS/USDT bid=5.674 ask=5.685
2026-01-19 02:10:19,710 | INFO     | orderbook_manager | OB bybit LDO/USDT bid=0.601 ask=0.6012
2026-01-19 02:10:20,133 | INFO     | orderbook_manager | OB okx LDO/USDT bid=0.6008 ask=0.6011
2026-01-19 02:10:30,514 | INFO     | orderbook_manager | OB bybit GALA/USDT bid=0.00749 ask=0.0075
2026-01-19 02:10:31,023 | INFO     | orderbook_manager | OB okx GALA/USDT bid=0.007496 ask=0.007497
2026-01-19 02:10:31,388 | INFO     | orderbook_manager | OB bybit SAND/USDT bid=0.1456 ask=0.1458
2026-01-19 02:10:31,776 | INFO     | orderbook_manager | OB okx SAND/USDT bid=0.1456 ask=0.1457
2026-01-19 02:10:32,180 | INFO     | orderbook_manager | OB bybit MANA/USDT bid=0.1572 ask=0.1574
2026-01-19 02:10:32,570 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1573 ask=0.1574
2026-01-19 02:10:32,935 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.941 ask=1.943
2026-01-19 02:10:33,475 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9407 ask=1.9415
2026-01-19 02:10:33,847 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.287
2026-01-19 02:10:34,212 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2851 ask=0.2854
2026-01-19 02:10:34,641 | INFO     | orderbook_manager | OB bybit ARB/USDT bid=0.2166 ask=0.2167
2026-01-19 02:10:35,018 | INFO     | orderbook_manager | OB okx ARB/USDT bid=0.2166 ask=0.2167
2026-01-19 02:10:35,421 | INFO     | orderbook_manager | OB bybit OP/USDT bid=0.3396 ask=0.3397
2026-01-19 02:10:35,838 | INFO     | orderbook_manager | OB okx OP/USDT bid=0.3397 ask=0.3398
2026-01-19 02:10:36,278 | INFO     | orderbook_manager | OB okx METIS/USDT bid=5.671 ask=5.68
2026-01-19 02:10:36,657 | INFO     | orderbook_manager | OB bybit LDO/USDT bid=0.601 ask=0.6013
2026-01-19 02:10:37,125 | INFO     | orderbook_manager | OB okx LDO/USDT bid=0.601 ask=0.6011
2026-01-19 02:10:47,613 | INFO     | orderbook_manager | OB bybit GALA/USDT bid=0.00749 ask=0.00751
2026-01-19 02:10:48,140 | INFO     | orderbook_manager | OB okx GALA/USDT bid=0.0075 ask=0.007501
2026-01-19 02:10:48,535 | INFO     | orderbook_manager | OB bybit SAND/USDT bid=0.1456 ask=0.1458
2026-01-19 02:10:49,044 | INFO     | orderbook_manager | OB okx SAND/USDT bid=0.1457 ask=0.1458
2026-01-19 02:10:49,454 | INFO     | orderbook_manager | OB bybit MANA/USDT bid=0.1574 ask=0.1575
2026-01-19 02:10:49,825 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1575 ask=0.1576
2026-01-19 02:10:50,222 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.946 ask=1.947
2026-01-19 02:10:50,681 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9459 ask=1.9471
2026-01-19 02:10:51,074 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.286
2026-01-19 02:10:51,478 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2852 ask=0.2855
2026-01-19 02:10:51,835 | INFO     | orderbook_manager | OB bybit ARB/USDT bid=0.2167 ask=0.2168
2026-01-19 02:10:52,319 | INFO     | orderbook_manager | OB okx ARB/USDT bid=0.2167 ask=0.2168
2026-01-19 02:10:52,729 | INFO     | orderbook_manager | OB bybit OP/USDT bid=0.3397 ask=0.3398
2026-01-19 02:10:53,139 | INFO     | orderbook_manager | OB okx OP/USDT bid=0.3397 ask=0.3398
2026-01-19 02:10:53,526 | INFO     | orderbook_manager | OB okx METIS/USDT bid=5.666 ask=5.674
2026-01-19 02:10:53,958 | INFO     | orderbook_manager | OB bybit LDO/USDT bid=0.6007 ask=0.601
2026-01-19 02:10:54,358 | INFO     | orderbook_manager | OB okx LDO/USDT bid=0.6007 ask=0.6008
2026-01-19 02:11:04,790 | INFO     | orderbook_manager | OB bybit GALA/USDT bid=0.00749 ask=0.0075
2026-01-19 02:11:05,248 | INFO     | orderbook_manager | OB okx GALA/USDT bid=0.007493 ask=0.007494
2026-01-19 02:11:05,638 | INFO     | orderbook_manager | OB bybit SAND/USDT bid=0.1456 ask=0.1458
2026-01-19 02:11:06,066 | INFO     | orderbook_manager | OB okx SAND/USDT bid=0.1457 ask=0.1458
2026-01-19 02:11:06,475 | INFO     | orderbook_manager | OB bybit MANA/USDT bid=0.1572 ask=0.1574
2026-01-19 02:11:06,906 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1574 ask=0.1575
2026-01-19 02:11:07,391 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.941 ask=1.942
2026-01-19 02:11:07,794 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9413 ask=1.9416
2026-01-19 02:11:08,210 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.286
2026-01-19 02:11:08,633 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2851 ask=0.2853
2026-01-19 02:11:09,051 | INFO     | orderbook_manager | OrderBook Manager durduruldu
