2026-01-19 06:50:14,396 | INFO     | exchange_manager | OK bybit markets yüklendi (2564 market)
2026-01-19 06:50:16,392 | INFO     | exchange_manager | OK okx markets yüklendi (2449 market)
2026-01-19 06:50:16,392 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 06:52:38,992 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 06:52:41,124 | INFO     | exchange_manager | OK bybit markets yüklendi (2564 market)
2026-01-19 06:52:43,039 | INFO     | exchange_manager | OK okx markets yüklendi (2449 market)
2026-01-19 06:52:43,039 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 07:00:00,036 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 07:00:01,979 | INFO     | exchange_manager | OK bybit markets yüklendi (2564 market)
2026-01-19 07:00:03,691 | INFO     | exchange_manager | OK okx markets yüklendi (2449 market)
2026-01-19 07:00:03,691 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 07:03:01,444 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 07:03:03,704 | INFO     | exchange_manager | OK bybit markets yüklendi (2564 market)
2026-01-19 07:03:05,322 | INFO     | exchange_manager | OK okx markets yüklendi (2449 market)
2026-01-19 07:03:05,323 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 07:10:27,631 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 07:10:29,230 | WARNING  | exchange_manager | ! bybit load_markets deneme 1/3 basarisiz: RateLimitExceeded: RateLimitExceeded('bybit GET https://api.bybit.com/v5/market/time 403 Forbidden <!DOCTYPE HTML PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN" "http://www.w3.org/TR/html4/loose.dtd">\n<HTML><HEAD><META HTTP-EQUIV="Content-Type" CONTENT="text/html; charset=iso-8859-1">\n<TITLE>ERROR: The request could not be satisfied</TITLE>\n</HEAD><BODY>\n<H1>403 ERROR</H1>\n<H2>The request could not be satisfied.</H2>\n<HR noshade size="1px">\nThe Amazon CloudFront distribution is configured to block access from your country.\nWe can\'t connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.\n<BR clear="all">\nIf you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.\n<BR clear="all">\n<HR noshade size="1px">\n<PRE>\nGenerated by cloudfront (CloudFront)\nRequest ID: FT_k8a5bNP62wIPR0u-_V1XfwXhsJ3seFDcUqgUY9aDU6YsVLKZw9w==\n</PRE>\n<ADDRESS>\n</ADDRESS>\n</BODY></HTML>')
2026-01-19 07:10:30,504 | WARNING  | exchange_manager | ! bybit load_markets deneme 2/3 basarisiz: RateLimitExceeded: RateLimitExceeded('bybit GET https://api.bybit.com/v5/market/time 403 Forbidden <!DOCTYPE HTML PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN" "http://www.w3.org/TR/html4/loose.dtd">\n<HTML><HEAD><META HTTP-EQUIV="Content-Type" CONTENT="text/html; charset=iso-8859-1">\n<TITLE>ERROR: The request could not be satisfied</TITLE>\n</HEAD><BODY>\n<H1>403 ERROR</H1>\n<H2>The request could not be satisfied.</H2>\n<HR noshade size="1px">\nThe Amazon CloudFront distribution is configured to block access from your country.\nWe can\'t connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.\n<BR clear="all">\nIf you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.\n<BR clear="all">\n<HR noshade size="1px">\n<PRE>\nGenerated by cloudfront (CloudFront)\nRequest ID: ubeVWivJP1XIVhVsWrIuJ-rwytWBKDMcJJ8smV889wGkrQ2V6loV4w==\n</PRE>\n<ADDRESS>\n</ADDRESS>\n</BODY></HTML>')
2026-01-19 07:10:31,762 | WARNING  | exchange_manager | ! bybit load_markets deneme 3/3 basarisiz: RateLimitExceeded: RateLimitExceeded('bybit GET https://api.bybit.com/v5/market/time 403 Forbidden <!DOCTYPE HTML PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN" "http://www.w3.org/TR/html4/loose.dtd">\n<HTML><HEAD><META HTTP-EQUIV="Content-Type" CONTENT="text/html; charset=iso-8859-1">\n<TITLE>ERROR: The request could not be satisfied</TITLE>\n</HEAD><BODY>\n<H1>403 ERROR</H1>\n<H2>The request could not be satisfied.</H2>\n<HR noshade size="1px">\nThe Amazon CloudFront distribution is configured to block access from your country.\nWe can\'t connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.\n<BR clear="all">\nIf you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.\n<BR clear="all">\n<HR noshade size="1px">\n<PRE>\nGenerated by cloudfront (CloudFront)\nRequest ID: qfFIv2viIxUfr79HyzJUDlC4l3KoStNtkw5YOSqsPRgeY6YzQCZBiA==\n</PRE>\n<ADDRESS>\n</ADDRESS>\n</BODY></HTML>')
