2026-01-19 04:18:09,280 | INFO     | main            | 🎯 Mod: FAKE_MONEY
2026-01-19 04:18:09,280 | INFO     | main            | 💵 Bakiye: $1,000.00
2026-01-19 04:18:11,362 | INFO     | main            | ✅ Telegram aktif!
2026-01-19 04:18:16,591 | INFO     | main            | ✅ Bot başladı!
2026-01-19 04:18:16,591 | INFO     | main            | 🛑 Ctrl+C ile durdur
2026-01-19 04:18:16,592 | INFO     | main            | ======================================================================
2026-01-19 05:05:28,860 | INFO     | main            | ======================================================================
2026-01-19 05:05:28,861 | INFO     | main            | 🚀 GreenTrades Başlatılıyor...
2026-01-19 05:05:28,861 | INFO     | main            | 🎯 Mod: FAKE_MONEY
2026-01-19 05:05:28,861 | INFO     | main            | 💵 Bakiye: $250.00
2026-01-19 05:05:30,999 | INFO     | main            | ✅ Telegram aktif!
2026-01-19 05:05:36,001 | INFO     | main            | ✅ Bot başladı!
2026-01-19 05:05:36,002 | INFO     | main            | 🛑 Ctrl+C ile durdur
2026-01-19 05:05:36,002 | INFO     | main            | ======================================================================
2026-01-19 05:25:13,979 | INFO     | main            | ======================================================================
2026-01-19 05:25:13,980 | INFO     | main            | 🚀 GreenTrades Başlatılıyor...
2026-01-19 05:25:13,980 | INFO     | main            | 🎯 Mod: FAKE_MONEY
2026-01-19 05:25:13,980 | INFO     | main            | 💵 Bakiye: $250.00
2026-01-19 05:25:16,319 | INFO     | main            | ✅ Telegram aktif!
2026-01-19 05:25:20,376 | INFO     | main            | ✅ Bot başladı!
2026-01-19 05:25:20,377 | INFO     | main            | 🛑 Ctrl+C ile durdur
2026-01-19 05:25:20,377 | INFO     | main            | ======================================================================
