2026-01-19 03:11:41,375 | INFO     | bot             |   1 firsat bulundu
2026-01-19 03:11:42,192 | WARNING  | bot             | ❌ Islem basarisiz: Net kar negatif
2026-01-19 03:11:52,201 | INFO     | bot             | ========== DONGU #2 ==========
2026-01-19 03:11:59,458 | INFO     | bot             |   1 firsat bulundu
2026-01-19 03:12:00,206 | WARNING  | bot             | ❌ Islem basarisiz: Net kar negatif
2026-01-19 03:12:10,214 | INFO     | bot             | ========== DONGU #3 ==========
2026-01-19 03:12:27,119 | INFO     | bot             | ========== DONGU #4 ==========
2026-01-19 03:12:44,376 | INFO     | bot             | ========== DONGU #5 ==========
2026-01-19 03:12:51,240 | INFO     | bot             |   1 firsat bulundu
2026-01-19 03:12:51,994 | WARNING  | bot             | ❌ Islem basarisiz: Net kar negatif
2026-01-19 03:13:01,997 | INFO     | bot             | ========== DONGU #6 ==========
2026-01-19 03:13:09,133 | INFO     | bot             |   1 firsat bulundu
2026-01-19 03:13:09,900 | WARNING  | bot             | ❌ Islem basarisiz: Net kar negatif
2026-01-19 03:13:19,900 | INFO     | bot             | ========== DONGU #7 ==========
2026-01-19 03:13:36,725 | INFO     | bot             | ========== DONGU #8 ==========
2026-01-19 03:13:53,812 | INFO     | bot             | ========== DONGU #9 ==========
2026-01-19 03:14:00,580 | INFO     | bot             | Bot durduruluyor...
2026-01-19 03:14:01,113 | INFO     | bot             | Bot durduruldu
2026-01-19 03:19:46,750 | INFO     | bot             | Bot modu: fake_money
2026-01-19 03:19:46,750 | INFO     | bot             | Bot baslatiliyor...
2026-01-19 03:19:46,750 | INFO     | bot             | Database baslatiliyor...
2026-01-19 03:19:46,752 | INFO     | bot             | Borsalar baglaniyor...
2026-01-19 03:19:51,449 | INFO     | bot             | Bakiyeler yukleniyor...
2026-01-19 03:19:51,450 | INFO     | bot             | Orderbook yoneticisi baslatiliyor...
2026-01-19 03:19:51,451 | INFO     | bot             | Islem executor'i hazirlaniyor...
2026-01-19 03:19:51,452 | INFO     | bot             | Risk yoneticisi baslatiliyor...
2026-01-19 03:19:51,453 | INFO     | bot             | Performans takipcisi baslatiliyor...
2026-01-19 03:19:51,453 | INFO     | bot             | Stratejiler yukleniyor...
2026-01-19 03:19:51,453 | INFO     | bot             |   Spot Arbitrage stratejisi aktif
2026-01-19 03:19:51,454 | INFO     | bot             |   Triangular Arbitrage stratejisi aktif
2026-01-19 03:19:51,454 | INFO     | bot             | Baslangic bakiyesi: $250.00
